Ability name,PROBABLY NOT A FEAT EQUIVALENT,Source Feat,Relevant,Should need pre-req,Kind,Alek rating,,
Chaos flair,Does random stuff.,Cohort of Chaos,MAYBE,,COMBAT,,,
Crush-move,"With bludgeonng, move target 5ft if size<=you+1.",Crusher,YES,,COMBAT,,,
Swift duelist,Draw or stow two one handed weapons as one,Dual Wielder,MAYBE,,COMBAT,,,
Dwarven-fortitude,When you dodge action in combat roll HD and regain hitpoints,Dwarven fortitude,MAYBE,,COMBAT,,,
Fighting Initiative,"Learn a fighting style, PROBABLY NOT A FEAT EQUIVALENT",Fighting Initiate,MAYBE,,COMBAT,,,
Telekinetic-reprisal,"If you take damage in 10ft, reaction to 2d8 damage, 10ft push (save/half). prof/long rest",gift of gem dragon,YES,,COMBAT,,,
Combat-healer,"Using healer’s kit on dying creature stabilises, gains one 1hp",healer,MAYBE,,COMBAT,,,
Brawler,"On hit with UA strike or Impr. Weapon, can bonus action to grapple",Tavern Brawler,MAYBE,,COMBAT,,,
Improvised Weapon Proficiency,Proficiency with improvised weapon,Tavern Brawler,MAYBE,,COMBAT,,,
Telekinetic Shove,Yas bonus action shove creature within 30ft you can see.,Telekinetic,MAYBE,,COMBAT,,,
Returning throw,Light thrown weapon returns to you on a miss,Thrown Arms Master,MAYBE,,COMBAT,,,
Swordchucks,You can use melee weapons as thrown,Thrown Arms Master,MAYBE,,COMBAT,,,
Weapon Master,Gain proficiency with a category of weapons (previously 4 weapons),Weapon Master,YES,,COMBAT,,,
Alert-unsurprised,Hidden creatures do not gain advantage against you,Adept of White Robes,MAYBE,,COMBAT-DEFENCE,,,
Alert-unsurprised,Cannot be surprised when conscious,Adept of White Robes,YES,,COMBAT-DEFENCE,,,
Protective Magic,Pr.magic: Learn 2nd lvl spell. Have a free cast per long rest.,Adept of White Robes,YES,YES,COMBAT-DEFENCE,,,
Protective Ward,"Pr. Ward: when creature in 30ft damaged, reaction to red.dam. (1HDper spell level)",Adept of White Robes,YES,,COMBAT-DEFENCE,,,
Bountiful lick,"If ally rolls Nat 1/20, use reaction to allow a reroll.",Bountiful Luck,YES,,COMBAT-DEFENCE,,,
Defensive Duelist,When wielding a finesse weapon: use reaction to increase AC +Prof for one attack,Defensive Duelist,YES,,COMBAT-DEFENCE,,,
Defensive duelist,+1 to AC when using two melee weapons,Dual Wielder,YES,,COMBAT-DEFENCE,,,
Dungeon-resistant,Resistance to damage dealt by traps,Dungeon Delver,MAYBE,,COMBAT-DEFENCE,,,
Durable,Minimum HP regained on HD roll = 2 x CON.,Durable,MAYBE,,COMBAT-DEFENCE,,,Fight
Fade away,"On damage, use reaction to be invisible till end of next turn 1/rest",Fade away,YES,,COMBAT-DEFENCE,,,
Reactive Resistance,Use reaction to gain resistance to a draconic element prof/long rest,gift of chromatic dragon,YES,,COMBAT-DEFENCE,,,
Protective wings,"Use reaction to give +prof to AC of adjacent creature, prof/long rest.",gift of metallic dragon,YES,,COMBAT-DEFENCE,,,
Born of element,DR vs one element.,Glory of Giants,YES,,COMBAT-DEFENCE,,,
